id,shipment,time,temperature °C,battery,latitude,longitude,device,createdon,type,alerts
988649,821(8),2017-02-14 16:25,10.4,4096,-33.849359,151.053748,"354430070008215",2017-02-14 16:25,SwitchedOn,
988684,821(8),2017-02-14 16:29,9.5,4108,-33.849359,151.053748,"354430070008215",2017-02-14 16:42,Stop,
988685,821(8),2017-02-14 16:35,8.2,4108,-33.848812,151.053708,"354430070008215",2017-02-14 16:42,Reading,
988718,821(8),2017-02-14 16:45,6.6,4108,-33.848369,151.053681,"354430070008215",2017-02-14 16:59,Reading,
988719,821(8),2017-02-14 16:55,5.5,4105,-33.848325,151.053673,"354430070008215",2017-02-14 16:59,Reading,
988720,821(8),2017-02-14 16:58,5.2,4107,-33.847991,151.053616,"354430070008215",2017-02-14 16:59,Moving,
988760,821(8),2017-02-14 17:01,5.0,4105,-33.847988,151.053669,"354430070008215",2017-02-14 17:16,Stop,
988761,821(8),2017-02-14 17:05,4.6,4106,-33.84841,151.053636,"354430070008215",2017-02-14 17:16,Reading,
988762,821(8),2017-02-14 17:15,4.0,4102,-33.848455,151.053578,"354430070008215",2017-02-14 17:16,Moving,
988763,821(8),2017-02-14 17:15,3.9,4106,-33.848865,151.054439,"354430070008215",2017-02-14 17:16,Reading,
988794,821(8),2017-02-14 17:19,3.6,4103,-33.848887,151.054392,"354430070008215",2017-02-14 17:33,Stop,
988795,821(8),2017-02-14 17:25,3.2,4105,-33.849018,151.054721,"354430070008215",2017-02-14 17:33,Reading,
988822,821(8),2017-02-14 17:35,3.0,4105,-33.848839,151.054746,"354430070008215",2017-02-14 17:49,Reading,
988823,821(8),2017-02-14 17:45,2.8,4104,-33.848983,151.05448,"354430070008215",2017-02-14 17:49,Reading,
988843,821(8),2017-02-14 17:55,2.9,4101,-33.848599,151.054774,"354430070008215",2017-02-14 18:05,Reading,
988844,821(8),2017-02-14 17:55,2.9,4102,-33.848342,151.054747,"354430070008215",2017-02-14 18:05,Moving,
988870,821(8),2017-02-14 18:05,3.0,4096,-33.833737,151.026393,"354430070008215",2017-02-14 18:21,Reading,
988871,821(8),2017-02-14 18:16,3.1,4103,-33.811441,150.950506,"354430070008215",2017-02-14 18:21,Reading,
988902,821(8),2017-02-14 18:25,3.0,4099,-33.802209,150.854875,"354430070008215",2017-02-14 18:37,Reading,
988904,821(8),2017-02-14 18:35,2.5,4103,-33.931587,150.858908,"354430070008215",2017-02-14 18:37,Reading,
988933,821(8),2017-02-14 18:42,2.4,4103,-33.925638,150.874362,"354430070008215",2017-02-14 18:54,Stop,
988934,821(8),2017-02-14 18:45,2.2,4098,-33.921703,150.875717,"354430070008215",2017-02-14 18:54,Reading,
988962,821(8),2017-02-14 18:55,2.0,4103,-33.925542,150.874395,"354430070008215",2017-02-14 19:11,Reading,
988963,821(8),2017-02-14 19:06,1.6,4103,-33.925431,150.874433,"354430070008215",2017-02-14 19:11,Reading,
988993,821(8),2017-02-14 19:15,1.5,4103,-33.925419,150.874437,"354430070008215",2017-02-14 19:27,Reading,
988994,821(8),2017-02-14 19:25,1.4,4103,-33.9249,150.874616,"354430070008215",2017-02-14 19:27,Reading,
989030,821(8),2017-02-14 19:35,1.2,4100,-33.924894,150.874618,"354430070008215",2017-02-14 19:44,Reading,
989094,821(8),2017-02-14 19:45,1.2,4102,-33.924113,150.881714,"354430070008215",2017-02-14 20:01,Reading,
989095,821(8),2017-02-14 19:55,1.1,4101,-33.925201,150.874512,"354430070008215",2017-02-14 20:01,Reading,
989128,821(8),2017-02-14 20:05,1.0,4099,-33.925783,150.878776,"354430070008215",2017-02-14 20:18,Reading,
989129,821(8),2017-02-14 20:15,1.0,4098,-33.924712,150.874681,"354430070008215",2017-02-14 20:18,Reading,
989162,821(8),2017-02-14 20:25,0.9,4098,-33.924803,150.874649,"354430070008215",2017-02-14 20:35,Reading,
989187,821(8),2017-02-14 20:35,0.9,4097,-33.921703,150.875717,"354430070008215",2017-02-14 20:51,Reading,
989188,821(8),2017-02-14 20:45,0.9,4098,-33.925319,150.874471,"354430070008215",2017-02-14 20:51,Reading,
989224,821(8),2017-02-14 20:55,0.9,4097,-33.924589,150.874723,"354430070008215",2017-02-14 21:08,Reading,
989225,821(8),2017-02-14 21:05,0.8,4097,-33.924496,150.874755,"354430070008215",2017-02-14 21:08,Reading,
989248,821(8),2017-02-14 21:16,0.8,4097,-33.925638,150.874362,"354430070008215",2017-02-14 21:25,Reading,
989279,821(8),2017-02-14 21:25,0.8,4097,-33.925224,150.874504,"354430070008215",2017-02-14 21:42,Reading,
989280,821(8),2017-02-14 21:35,0.8,4097,-33.925419,150.874437,"354430070008215",2017-02-14 21:42,Reading,
989313,821(8),2017-02-14 21:45,0.8,4097,-33.925158,150.874527,"354430070008215",2017-02-14 21:59,Reading,
989314,821(8),2017-02-14 21:55,0.8,4097,-33.925802,150.874305,"354430070008215",2017-02-14 21:59,Reading,
989346,821(8),2017-02-14 22:05,0.8,4097,-33.925725,150.874331,"354430070008215",2017-02-14 22:16,Reading,
989347,821(8),2017-02-14 22:15,0.6,4097,-33.924326,150.874813,"354430070008215",2017-02-14 22:16,Reading,
989377,821(8),2017-02-14 22:25,0.6,4097,-33.919786,150.853616,"354430070008215",2017-02-14 22:33,Reading,
989404,821(8),2017-02-14 22:35,0.8,4096,-33.925551,150.874392,"354430070008215",2017-02-14 22:50,Reading,
989405,821(8),2017-02-14 22:45,0.6,4093,-33.925451,150.874426,"354430070008215",2017-02-14 22:50,Reading,
989436,821(8),2017-02-14 22:55,0.6,4094,-33.925048,150.874565,"354430070008215",2017-02-14 23:07,Reading,
989437,821(8),2017-02-14 23:05,0.6,4093,-33.925638,150.874362,"354430070008215",2017-02-14 23:07,Reading,
989464,821(8),2017-02-14 23:15,0.6,4093,-33.925201,150.874512,"354430070008215",2017-02-14 23:24,Reading,
989497,821(8),2017-02-14 23:25,0.8,4092,-33.92481,150.874647,"354430070008215",2017-02-14 23:40,Reading,
989498,821(8),2017-02-14 23:27,0.6,4095,-33.926425,150.87409,"354430070008215",2017-02-14 23:40,Moving,
