id,shipment,time,temperature °C,battery,latitude,longitude,device,createdon,type,alerts
368879,769(10),2016-08-19 08:49,2.1,3961,-33.877637,151.125438,"354430070007696",2016-08-19 08:51,Reading,
368897,769(10),2016-08-19 08:54,0.5,3960,-33.887063,151.141959,"354430070007696",2016-08-19 09:22,Stop,
368898,769(10),2016-08-19 08:59,-0.2,3956,-33.890265,151.14251,"354430070007696",2016-08-19 09:22,Reading,
368899,769(10),2016-08-19 09:05,-2.4,3957,-33.891348,151.171321,"354430070007696",2016-08-19 09:22,Moving,
368900,769(10),2016-08-19 09:09,-3.5,3960,-33.886426,151.196676,"354430070007696",2016-08-19 09:22,Reading,
368901,769(10),2016-08-19 09:20,-5.2,3959,-33.878285,151.209541,"354430070007696",2016-08-19 09:22,Reading,
368902,769(10),2016-08-19 09:22,-5.5,3958,-33.879194,151.208972,"354430070007696",2016-08-19 09:22,LightOn,
368907,769(10),2016-08-19 09:23,-5.1,3957,-33.879923,151.208117,"354430070007696",2016-08-19 09:23,LightOff,
368915,769(10),2016-08-19 09:24,-4.4,3955,-33.880631,151.20839,"354430070007696",2016-08-19 09:35,Stop,
368916,769(10),2016-08-19 09:28,-3.4,3954,-33.881207,151.210335,"354430070007696",2016-08-19 09:35,Moving,
368917,769(10),2016-08-19 09:29,-3.5,3956,-33.877398,151.213853,"354430070007696",2016-08-19 09:35,Reading,
368918,769(10),2016-08-19 09:35,-4.8,3959,-33.883832,151.229896,"354430070007696",2016-08-19 09:35,LightOn,
368919,769(10),2016-08-19 09:36,-4.6,3955,-33.883785,151.229887,"354430070007696",2016-08-19 09:36,LightOff,
368941,769(10),2016-08-19 09:37,-4.1,3955,-33.883502,151.22889,"354430070007696",2016-08-19 09:55,Stop,
368942,769(10),2016-08-19 09:40,-3.6,3955,-33.883511,151.228873,"354430070007696",2016-08-19 09:55,Reading,
368943,769(10),2016-08-19 09:49,-2.1,3956,-33.883783,151.22988,"354430070007696",2016-08-19 09:55,Reading,
368944,769(10),2016-08-19 09:51,-1.8,3958,-33.883106,151.229709,"354430070007696",2016-08-19 09:55,Moving,
368991,769(10),2016-08-19 10:00,-4.1,3955,-33.872149,151.196459,"354430070007696",2016-08-19 10:28,Reading,
368992,769(10),2016-08-19 10:05,-4.4,3955,-33.868718,151.194916,"354430070007696",2016-08-19 10:28,Stop,
